,ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
0,2017-10-31,sz002910,N×¯Ô°,10.74,10.74,8.95,8.95,7.46,3.28,43.9678,0.0332,15572,166975.28,2012031600.0,503061600.0
1,2017-11-01,sz002910,×¯Ô°ÄÁ³¡,11.81,11.81,11.81,11.81,10.74,1.07,9.9628,0.0111,5176,61128.56,2212485400.0,553180400.0
2,2017-11-02,sz002910,×¯Ô°ÄÁ³¡,12.99,12.99,12.99,12.99,11.81,1.18,9.9915,0.0113,5300,68847.0,2433546600.0,608451600.0
3,2017-11-03,sz002910,×¯Ô°ÄÁ³¡,14.29,14.29,14.29,14.29,12.99,1.3,10.0077,0.0273,12809,183040.61,2677088600.0,669343600.0
4,2017-11-06,sz002910,×¯Ô°ÄÁ³¡,15.72,15.72,15.72,15.72,14.29,1.43,10.007,0.0374,17500,275100.0,2944984800.0,736324800.0
5,2017-11-07,sz002910,×¯Ô°ÄÁ³¡,17.29,17.29,17.29,17.29,15.72,1.57,9.9873,0.0408,19096,330169.84,3239108600.0,809863600.0
6,2017-11-08,sz002910,×¯Ô°ÄÁ³¡,19.02,19.02,19.02,19.02,17.29,1.73,10.0058,0.116,54348,1033698.96,3563206800.0,890896800.0
7,2017-11-09,sz002910,×¯Ô°ÄÁ³¡,20.92,20.92,20.92,20.92,19.02,1.9,9.9895,0.1678,78585,1643998.2,3919152800.0,979892800.0
8,2017-11-10,sz002910,×¯Ô°ÄÁ³¡,23.01,23.01,23.01,23.01,20.92,2.09,9.9904,0.2479,116102,2671507.02,4310693400.0,1077788400.0
9,2017-11-13,sz002910,×¯Ô°ÄÁ³¡,0.0,0.0,0.0,0.0,23.01,,,0.0,0,0.0,4310693400.0,1077788400.0
10,2017-11-14,sz002910,×¯Ô°ÄÁ³¡,0.0,0.0,0.0,0.0,23.01,,,0.0,0,0.0,4310693400.0,1077788400.0
11,2017-11-15,sz002910,×¯Ô°ÄÁ³¡,25.31,25.31,25.31,25.31,23.01,2.3,9.9957,0.611,286215,7244101.65,4741575400.0,1185520400.0
12,2017-11-16,sz002910,×¯Ô°ÄÁ³¡,27.84,27.84,27.84,27.84,25.31,2.53,9.996,2.8461,1333127,37114255.68,5215545600.0,1304025600.0
13,2017-11-17,sz002910,×¯Ô°ÄÁ³¡,30.62,30.62,25.7,27.63,27.84,2.78,9.9856,68.0449,31872209,888754700.63,5736350800.0,1434240800.0
14,2017-11-20,sz002910,×¯Ô°ÄÁ³¡,31.67,33.68,29.51,29.77,30.62,1.05,3.4291,73.9048,34617010,1105199993.42,5933057800.0,1483422800.0
15,2017-11-21,sz002910,×¯Ô°ÄÁ³¡,28.5,28.5,28.5,28.5,31.67,-3.17,-10.0095,11.2526,5270700,150214950.0,5339190000.0,1334940000.0
16,2017-11-22,sz002910,×¯Ô°ÄÁ³¡,26.09,28.5,25.65,27.96,28.5,-2.41,-8.4561,60.9169,28533475,763947645.04,4887700600.0,1222055600.0
17,2017-11-23,sz002910,×¯Ô°ÄÁ³¡,23.48,25.14,23.48,24.22,26.09,-2.61,-10.0038,44.1874,20697366,502364236.72,4398743200.0,1099803200.0
18,2017-11-24,sz002910,×¯Ô°ÄÁ³¡,22.04,23.39,21.8,22.85,23.48,-1.44,-6.1329,33.1695,15536603,350918936.21,4128973600.0,1032353600.0
19,2017-11-27,sz002910,×¯Ô°ÄÁ³¡,22.73,23.06,21.55,22.12,22.04,0.69,3.1307,31.1613,14595933,327966534.64,4258238200.0,1064673200.0
